Player,Team Name,Goals
焦希,斯佩齐亚,2,https://sd.qunliao.info/fastdfs5/M00/40/64/rB8BO19gO7mANNuhAAAX1cBpB2I824.jpg
曼德拉戈拉,佛罗伦萨,2,https://sd.qunliao.info/fastdfs3/M00/B5/DC/ChOxM1xC6Y6AWqVcAABn1LkatBI080.png
本纳赛尔,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/8B/rBUCgGMVbm6AImL1AAAc8tXyr6M810.jpg
埃布埃希,恩波利,2,https://sd.qunliao.info/fastdfs3/M00/B5/E2/ChOxM1xC6eyAc4Q4AAAoLqQ25hI560.jpg
卡斯特罗维利,佛罗伦萨,2,https://sd.qunliao.info/fastdfs5/M00/40/8A/rB8CCl9gnFiALW9NAAAW83IRZLc348.jpg
埃希兹布,乌迪内斯,2,https://sd.qunliao.info/fastdfs5/M00/12/37/rB8CCl6ZWoyACdX-AAAYfVcparw650.jpg
马蒂亚斯-奥利韦拉,那不勒斯,2,https://sd.qunliao.info/fastdfs6/M00/21/EE/rBUCgGN-hIOAbU-wAAAbjazFG0g174.jpg
拉默斯,桑普多利亚,2,https://sd.qunliao.info/fastdfs6/M00/36/B2/rBUCgGEbciCAXVqkAAAgqj9kw_8034.jpg
班迪内利,恩波利,2,https://sd.qunliao.info/fastdfs3/M00/B6/07/ChOxM1xC7BiAEvcLAABfCnl4jeg936.png
罗德里戈-贝康,乌迪内斯,2,https://sd.qunliao.info/fastdfs6/M00/7F/61/rBUCgGMNfLmAdkcMAAAVqJb8lkE741.jpg
德保利,维罗纳,2,https://sd.qunliao.info/fastdfs5/M00/13/F0/rB8BO16ht5iAbzKHAAAZCEOA9bs216.jpg
塞尔尼科拉,克雷莫内塞,2,https://sd.qunliao.info/fastdfs6/M00/B3/DF/rBUESWK5YbeAE0jQAAAenlpXogU934.jpg
米伦科维奇,佛罗伦萨,2,https://sd.qunliao.info/fastdfs6/M00/2F/5E/rBUESWN_nquAFQAeAAAYoviM5oo613.jpg
萨比里,桑普多利亚,2,https://sd.qunliao.info/fastdfs6/M00/0F/D8/rBUESWN898iASTNsAAAcM_hvZ6s300.jpg
费德里科-基耶萨,尤文图斯,2,https://sd.qunliao.info/fastdfs4/M00/C9/01/ChMf8FybS9KAGPvDAAAcX06NGWA029.jpg
阿鲁伊,萨索洛,2,https://sd.qunliao.info/fastdfs6/M00/01/4E/rBUESWBhQ96ANQ4UAAAaZKM9sZA771.jpg
波贝加,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/96/rBUCgGMVb_SAcYfsAAAZKtY1DS0646.jpg
佩莱格里,都灵,2,https://sd.qunliao.info/fastdfs6/M00/30/21/rBUCgGEJHJ2AR9LhAAAYAO2F16E575.jpg
拉斯帕多里,那不勒斯,2,https://sd.qunliao.info/fastdfs4/M00/FC/44/ChMf8F4i4DaAaA6xAAAboaRXErc885.jpg
巴伊拉米,萨索洛,2,https://sd.qunliao.info/fastdfs6/M00/2F/F7/rBUCgGEIqO6ASBhlAAAZz1kadpA818.jpg
金玟哉,那不勒斯,2,https://sd.qunliao.info/fastdfs6/M00/29/96/rBUESWN_RDOAbSydAAAaNomJN5Q882.jpg
